Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,V41690973,V41690914,STATIC_TOTALCPICHANGE,CPI_TRIM,CPI_MEDIAN,CPI_COMMON,ATOM_V41693242,STATIC_CPIXFET,CPIW,Open,High,Low,Close,Adj Close,Volume,Prime Rate,Bank of Canada Overnight Rate
01-09-2011,165.1,169.5,159.1,168.3,148.9,157.3,365100,397700,309000,460900,304300,270000,120.6,120.5,3.2,2.1,2,2.1,2.2,1.8,2.3,12770.7002,12798.5,11293.59961,11623.79981,11623.79981,5118460300,3,1
01-10-2011,165.9,170.4,159.8,169.4,149.4,157.4,366900,400000,310400,463700,305200,270300,120.8,120.9,2.9,2,1.9,2,2.1,1.4,2.2,11516.90039,12541.79981,10848.2002,12252.09961,12252.09961,4831907400,3,1
01-11-2011,166.8,171.4,160.9,170.2,150,158.2,368900,402300,312400,466100,306400,271600,120.9,121,2.9,2.1,2.1,2.1,2.1,1.5,2.1,11963.2002,12542.59961,11420.79981,12204.09961,12204.09961,4347381300,3,1
01-12-2011,167.6,172.5,162,171.3,149.7,158.4,370700,404900,314600,469000,305900,272000,120.2,120.8,2.3,1.9,1.9,2,1.9,1.2,1.9,12174.09961,12268.90039,11468.7002,11955.09961,11955.09961,4195931300,3,1
01-01-2012,168.4,173.5,163,172.4,150.1,158.5,372600,407300,316500,471900,306700,272200,120.7,121.5,2.5,2.1,2,2,2.1,1.5,2.1,12097.2002,12616,11955.90039,12452.2002,12452.2002,4129696600,3,1
01-02-2012,169.1,174.2,163,173.3,150.6,158.8,374000,408900,316600,474400,307700,272700,121.2,121.4,2.6,2.2,2.1,2.2,2.3,1.6,2.2,12510.7002,12788.59961,12291.79981,12644,12644,4117625300,3,1
01-03-2012,169.7,175,163.9,174,150.7,158.8,375300,410800,318200,476300,307900,272600,121.7,121.5,1.9,1.9,1.9,1.6,1.9,1.4,1.7,12643,12731.5,12194.5,12392.2002,12392.2002,4938268500,3,1
01-04-2012,170.3,175.8,164.7,174.7,150.9,158.9,376600,412500,319800,478200,308300,272900,122.2,121.9,2,2,2,1.9,2.1,1.8,2,12381.5,12526.59961,11869,12292.7002,12292.7002,3636982100,3,1
01-05-2012,170.3,175.8,165.1,174.5,151,158.9,376700,412500,320700,477700,308500,272900,122.1,121.5,1.2,1.6,1.7,1.7,1.8,1.4,1.5,12325.7002,12364.59961,11256.7002,11513.2002,11513.2002,4116747500,3,1
01-06-2012,170.2,175.5,165,174.3,150.9,158.6,376400,412000,320400,477300,308200,272300,121.6,121.2,1.5,1.5,1.6,1.7,2,1.6,1.6,11413.09961,11824.59961,11209.59961,11596.59961,11596.59961,4100253800,3,1
01-07-2012,170,175.5,164.8,174.3,150.7,158.1,376100,411800,320100,477300,307900,271500,121.5,121.2,1.3,1.5,1.6,1.6,1.7,1.2,1.4,11727.5,11936.2002,11366.7002,11664.7002,11664.7002,3248198800,3,1
01-08-2012,169.8,175.2,165,173.9,150.2,157.8,375600,411300,320500,476200,306800,270900,121.8,121.7,1.2,1.5,1.7,1.6,1.6,1,1.4,11693.09961,12196.79981,11475.40039,11949.29981,11949.29981,3035865900,3,1
01-09-2012,169.8,175.2,165,173.9,149.9,157.7,375500,411100,320500,476100,306200,270700,122,121.9,1.2,1.4,1.6,1.4,1.3,0.7,1.2,11978,12529.79981,11904.5,12317.5,12317.5,3642520600,3,1
01-10-2012,169.7,175.1,165,173.8,150.1,157.3,375300,411000,320400,475800,306700,270000,122.2,122.2,1.2,1.3,1.7,1.5,1.3,0.9,1.2,12372.5,12494,12137.2002,12422.90039,12422.90039,3116811700,3,1
01-11-2012,169.5,175,165,173.6,149.9,156.5,375000,410700,320500,475300,306300,268700,121.9,122.1,0.8,1.2,1.6,1.5,1.2,0.8,1.1,12408.5,12511.5,11761.29981,12239.40039,12239.40039,3356105900,3,1
01-12-2012,170,175.5,165.3,174.2,150.6,156.6,376100,412000,321100,476900,307700,268900,121.2,122,0.8,1.2,1.7,1.4,1.1,0.7,1.1,12253.7002,12457.29981,12095.5,12433.5,12433.5,3468514000,3,1
01-01-2013,169.9,175.4,165.2,174.1,150.9,156.3,375900,411600,320900,476800,308300,268300,121.3,122.1,0.5,1,1.5,1.3,1,0.5,0.9,12571.79981,12895.29981,12430.40039,12685.2002,12685.2002,3572534100,3,1
01-02-2013,170.4,175.8,165.7,174.5,150.8,156.7,376900,412700,321800,477800,308000,269000,122.7,122.9,1.2,1.2,1.6,1.4,1.4,1,1.3,12741.2002,12832.7002,12602.5,12821.79981,12821.79981,3328508900,3,1
01-03-2013,170.7,176.1,166.2,174.7,150.8,156.8,377500,413300,322700,478300,308000,269300,122.9,122.8,1,1.2,1.6,1.4,1.4,0.9,1.3,12798.7002,12904.7002,12622.5,12749.90039,12749.90039,3671660900,3,1
01-04-2013,171,176.6,166.1,175.5,151,156.4,378200,414500,322600,480400,308400,268600,122.7,122.3,0.4,1,1.5,1.2,1.1,0.6,1,12751.59961,12751.59961,11916.59961,12456.5,12456.5,3845683700,3,1
01-05-2013,171.4,176.9,166.3,175.8,151.5,157.1,379100,415200,322900,481400,309600,269700,123,122.3,0.7,1.1,1.5,1.1,1.1,0.6,1,12408,12889.29981,12276,12650.40039,12650.40039,579680800,3,1
01-06-2013,172,177.6,167,176.4,151.8,157.1,380400,416800,324300,483000,310200,269800,123,122.6,1.2,1.3,1.7,1.2,1.3,0.9,1.2,12661.2002,12681.2002,11759,12129.09961,12129.09961,37965200,3,1
01-07-2013,172.8,178.5,167.9,177.4,152,157.5,382300,419000,326000,485700,310600,270400,123.1,122.8,1.3,1.3,1.7,1.3,1.4,1.1,1.4,12178,12772.09961,12055.59961,12486.59961,12486.59961,552542500,3,1
01-08-2013,173.7,179.5,168.5,178.5,152.3,158.1,384200,421400,327300,488600,311100,271400,123.1,122.9,1.1,1.1,1.6,1.1,1.3,0.9,1.3,12486.59961,12812.59961,12400.09961,12653.90039,12653.90039,2514315900,3,1
01-09-2013,174.7,180.7,169.9,179.5,153.5,158.3,386500,424100,329900,491400,313500,271800,123.3,123.1,1.1,1.2,1.6,1.2,1.3,0.9,1.2,12654.29981,12964.90039,12654.29981,12787.2002,12787.2002,2555871000,3,1
01-10-2013,175.8,182,170.6,181,153.9,158.6,388900,427100,331400,495500,314400,272300,123,123,0.7,1.2,1.5,1.1,1.2,0.9,1,12787.2002,13471.09961,12678,13361.29981,13361.29981,3396521600,3,1
